Id|TIPO_VIA|NOMBRE_VIA|PORTAL1|PORTAL2|CODPOSTAL|COD_INE_MUNICIPIO|LATITUD_WGS84_4326|LONGITUD_WGS84_4326|PROVINCIA|MUNICIPIO|POBLACION
|||||||42,848558|-2,658561|||
|||||||42,850993|-2,655935|||
|||||||42,855996|-2,651520|||
|||||||42,853745|-2,654532|||
|||||||42,851241|-2,648841|||
|||||||42,845762|-2,652717|||
|||||||42,840389|-2,652277|||
|||||||42,844372|-2,644629|||
|||||||42,845060|-2,667098|||
|||||||42,844440|-2,665619|||
|||||||42,843623|-2,666498|||
|||||||42,842807|-2,666312|||
|||||||42,841397|-2,666071|||
|||||||42,842038|-2,657931|||
|||||||42,846401|-2,665719|||
|||||||42,844012|-2,664201|||
|||||||42,843972|-2,662165|||
|||||||42,845879|-2,662591|||
|||||||42,846910|-2,663712|||
|||||||42,846908|-2,662150|||
|||||||42,846578|-2,660888|||
|||||||42,846921|-2,659746|||
|||||||42,847079|-2,658590|||
|||||||42,845162|-2,659297|||
|||||||42,842686|-2,659816|||
|||||||42,842458|-2,657237|||
|||||||42,844272|-2,657589|||
|||||||42,845365|-2,656511|||
|||||||42,837863|-2,666129|||
|||||||42,836075|-2,664844|||
|||||||42,836047|-2,662414|||
|||||||42,828692|-2,663748|||
|||||||42,833332|-2,655611|||
|||||||42,839845|-2,665711|||
|||||||42,837859|-2,667763|||
|||||||42,835496|-2,667915|||
|||||||42,835865|-2,671051|||
|||||||42,836670|-2,670883|||
|||||||42,838665|-2,670336|||
|||||||42,856788|-2,712708|||
|||||||42,853986|-2,695376|||
|||||||42,854398|-2,699773|||
|||||||42,855106|-2,701437|||
|||||||42,855292|-2,704323|||
|||||||42,856488|-2,701188|||
|||||||42,860838|-2,705376|||
|||||||42,861001|-2,700357|||
|||||||42,862163|-2,699380|||
|||||||42,861641|-2,695297|||
|||||||42,858213|-2,695460|||
|||||||42,859051|-2,693399|||
|||||||42,856243|-2,694276|||
|||||||42,859104|-2,686396|||
|||||||42,861780|-2,679207|||
|||||||42,863498|-2,682317|||
|||||||42,864702|-2,678527|||
|||||||42,865830|-2,679052|||
|||||||42,864980|-2,683321|||
|||||||42,866597|-2,679258|||
|||||||42,866393|-2,684252|||
|||||||42,867716|-2,668853|||
|||||||42,873475|-2,679359|||
|||||||42,875756|-2,686137|||
|||||||42,876970|-2,677048|||
|||||||42,864417|-2,682941|||
|||||||42,864301|-2,690990|||
|||||||42,863304|-2,688931|||
|||||||42,869125|-2,691101|||
|||||||42,866033|-2,693924|||
|||||||42,861168|-2,688051|||
|||||||42,866907|-2,701565|||
|||||||42,864513|-2,697806|||
|||||||42,870527|-2,685548|||
|||||||42,869068|-2,696102|||
|||||||42,828908|-2,609840|||
|||||||42,816241|-2,719910|||
|||||||42,889338|-2,744292|||
|||||||42,555088|-2,468843|||
|||||||42,901494|-2,342356|||
|||||||42,657239|-2,821370|||
|||||||42,984264|-2,835737|||
|||||||42,807540|-2,810061|||
|||||||42,836071|-2,823734|||
|||||||42,755575|-3,014195|||
|||||||39,214547|-1,539007|||
|||||||39,079702|-1,370424|||
|||||||38,996357|-1,853622|||
|||||||38,998234|-1,855823|||
|||||||38,996855|-1,856265|||
|||||||38,994626|-1,855458|||
|||||||38,993221|-1,851838|||
|||||||38,993273|-1,848833|||
|||||||38,997564|-1,848995|||
|||||||38,994675|-1,851234|||
|||||||38,995396|-1,852410|||
|||||||39,006525|-1,843324|||
|||||||38,994909|-1,845436|||
|||||||38,995680|-1,849132|||
|||||||38,999240|-1,852164|||
|||||||39,000726|-1,856709|||
|||||||38,999261|-1,855998|||
|||||||38,998773|-1,850549|||
|||||||39,001566|-1,854131|||
|||||||38,996967|-1,859379|||
|||||||38,997270|-1,862308|||
|||||||38,999686|-1,860348|||
|||||||39,001179|-1,862530|||
|||||||38,998727|-1,867675|||
|||||||39,002000|-1,866036|||
|||||||38,999539|-1,869580|||
|||||||39,002275|-1,868149|||
|||||||39,003433|-1,883923|||
|||||||38,998657|-1,863255|||
|||||||38,999595|-1,864602|||
|||||||39,003651|-1,860686|||
|||||||38,998764|-1,859313|||
|||||||39,003343|-1,863689|||
|||||||39,000253|-1,866697|||
|||||||39,000882|-1,859571|||
|||||||39,001397|-1,864250|||
|||||||39,002403|-1,859249|||
|||||||39,000527|-1,872498|||
|||||||39,001386|-1,871442|||
|||||||38,999417|-1,874230|||
|||||||39,008241|-1,867496|||
|||||||38,995052|-1,858402|||
|||||||38,995046|-1,862262|||
|||||||38,996175|-1,865473|||
|||||||38,994423|-1,865056|||
|||||||38,995270|-1,869024|||
|||||||38,996831|-1,870881|||
|||||||38,994939|-1,873696|||
|||||||38,995124|-1,876533|||
|||||||38,993924|-1,868953|||
|||||||38,995290|-1,860884|||
|||||||38,994150|-1,858550|||
|||||||38,997081|-1,874928|||
|||||||38,993460|-1,874553|||
|||||||38,992836|-1,884259|||
|||||||38,992597|-1,862604|||
|||||||38,992278|-1,865514|||
|||||||38,992177|-1,868271|||
|||||||38,990387|-1,864960|||
|||||||38,992865|-1,871878|||
|||||||38,990801|-1,870478|||
|||||||38,987476|-1,870154|||
|||||||38,988908|-1,866466|||
|||||||38,990265|-1,867247|||
|||||||38,993434|-1,863323|||
|||||||38,980743|-1,886328|||
|||||||38,983557|-1,873825|||
|||||||38,991038|-1,876191|||
|||||||38,993183|-1,859131|||
|||||||38,990710|-1,860833|||
|||||||38,989402|-1,860187|||
|||||||38,989620|-1,863566|||
|||||||38,988570|-1,861718|||
|||||||38,987963|-1,864412|||
|||||||38,986501|-1,862986|||
|||||||38,986772|-1,865252|||
|||||||38,985281|-1,866566|||
